"","lab","subid","diff","stimulus_num","method","age_group"
"1","babylabbrookes","babylabbrookes_mb14",6.74,1,"singlescreen","12-15 mo"
"2","babylabbrookes","babylabbrookes_mb14",11.77,2,"singlescreen","12-15 mo"
"3","babylabbrookes","babylabbrookes_mb14",3.48,3,"singlescreen","12-15 mo"
"4","babylabbrookes","babylabbrookes_mb14",4.76,4,"singlescreen","12-15 mo"
"5","babylabbrookes","babylabbrookes_mb14",0.68,5,"singlescreen","12-15 mo"
"6","babylabbrookes","babylabbrookes_mb14",9.45,6,"singlescreen","12-15 mo"
"7","babylabbrookes","babylabbrookes_mb14",0.760000000000001,7,"singlescreen","12-15 mo"
"8","babylabbrookes","babylabbrookes_mb14",NA,8,"singlescreen","12-15 mo"
"9","babylabbrookes","babylabbrookes_mb15",0,5,"singlescreen","12-15 mo"
"10","babylabbrookes","babylabbrookes_mb15",-4.15,7,"singlescreen","12-15 mo"
"11","babylabbrookes","babylabbrookes_mb15",-7.89,1,"singlescreen","12-15 mo"
"12","babylabbrookes","babylabbrookes_mb15",-10.13,3,"singlescreen","12-15 mo"
"13","babylabbrookes","babylabbrookes_mb15",14.81,2,"singlescreen","12-15 mo"
"14","babylabbrookes","babylabbrookes_mb15",4.49,4,"singlescreen","12-15 mo"
"15","babylabbrookes","babylabbrookes_mb15",-1.64,6,"singlescreen","12-15 mo"
"16","babylabbrookes","babylabbrookes_mb15",-4.95,8,"singlescreen","12-15 mo"
"17","babylabbrookes","babylabbrookes_mb18",2.09,1,"singlescreen","12-15 mo"
"18","babylabbrookes","babylabbrookes_mb18",1.41,2,"singlescreen","12-15 mo"
"19","babylabbrookes","babylabbrookes_mb18",-1.12,3,"singlescreen","12-15 mo"
"20","babylabbrookes","babylabbrookes_mb18",-1.81,4,"singlescreen","12-15 mo"
"21","babylabbrookes","babylabbrookes_mb18",2.69,5,"singlescreen","12-15 mo"
"22","babylabbrookes","babylabbrookes_mb18",-14.81,6,"singlescreen","12-15 mo"
"23","babylabbrookes","babylabbrookes_mb18",-0.140000000000001,7,"singlescreen","12-15 mo"
"24","babylabbrookes","babylabbrookes_mb18",-1.47,8,"singlescreen","12-15 mo"
"25","babylabbrookes","babylabbrookes_mb20",0.66,5,"singlescreen","12-15 mo"
"26","babylabbrookes","babylabbrookes_mb20",-2.16,7,"singlescreen","12-15 mo"
"27","babylabbrookes","babylabbrookes_mb20",4.52,1,"singlescreen","12-15 mo"
"28","babylabbrookes","babylabbrookes_mb20",9.48,3,"singlescreen","12-15 mo"
"29","babylabbrookes","babylabbrookes_mb20",12.59,2,"singlescreen","12-15 mo"
"30","babylabbrookes","babylabbrookes_mb20",13.47,4,"singlescreen","12-15 mo"
